plantId,commonName,botanicalName,category,poolScore,poolLevel,slopeScore,slopeLevel,flowerBedScore,hedgeScore,grassScore,messiness,evergreenPresence,beeDraw,petKidCaution,colorType,welGardens,allStar,notes
1120,Canary Island Date Palm,Phoenix canariensis,TREES,98,excellent,10,poor,20,20,20,low,evergreen/everpresent,low,normal,mostly green/texture,,,
1121,Candy Heart Pluerry&#8482; Interspecific Plum Bareroot,Dave Wilson Nursery®,TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
1122,Carolina Cherry Laurel Standard Trunk,Prunus caroliniana Std,TREES,0,poor,10,poor,20,20,20,high,evergreen/everpresent,medium,normal,flower color,,,
1123,Center Stage&#174 Coral Crape Myrtle,Lagerstroemia indica 'Center Stage Coral',TREES,48,accent,22,poor,20,84,20,medium,seasonal/deciduous,medium,normal,foliage color,,lagerstroemia indica,Matched UC Davis Arboretum All-Star source term.
1124,Center Stage&#174 Pink Crape Myrtle,Lagerstroemia indica 'Center Stage Pink',TREES,48,accent,22,poor,20,84,20,medium,seasonal/deciduous,medium,normal,foliage color,,lagerstroemia indica,Matched UC Davis Arboretum All-Star source term.
1125,Center Stage&#174 Red Crape Myrtle,Lagerstroemia indica 'Center Stage Red',TREES,48,accent,22,poor,20,84,20,medium,seasonal/deciduous,medium,normal,foliage color,,lagerstroemia indica,Matched UC Davis Arboretum All-Star source term.
1126,Cherry 'Bing',Dave Wilson Nursery®,TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
1127,Cherry,"Huserik Bros. Nursery, Inc.",TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
1128,Cherry 'Black Tartarian',Dave Wilson Nursery®,TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,foliage color,,,
1129,Cherry,"Huserik Bros. Nursery, Inc.",TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,foliage color,,,
1130,Cherry 'Craig's Crimson',Dave Wilson Nursery®,TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
1131,Cherry,Dave Wilson Nursery®,TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
1132,Cherry 'Lapins',Dave Wilson Nursery®,TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
1133,Cherry,"Huserik Bros. Nursery, Inc.",TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
