Plant_ID,Product_Name,Botanical_Name,Green_Acres_URL,Warnings,Price_Display,Height_ft,Width_ft,Light,Water
71,Fennel 'Green Leaf',Foeniculum vulgare,https://idiggreenacres.com/products/fennel-green-leaf?variant=14354794381364,,$3.95,3-3,1-2,Full Sun,High; Moderate; Moderate to High
72,"Italian Parsley, Organic",Petroselinum crispum,https://idiggreenacres.com/products/italian-parsley-organic?variant=43220868563113,,$4.95,1-2,1-2,Full Sun,High; Moderate; Moderate to High
73,Kale,Brassica oleracea 'Blue Knight',https://idiggreenacres.com/products/kale-blue-knight?variant=29253563318324,,$3.25-$5.95,1-2,1-2,Full Sun,Moderate
74,Kale,Brassica oleracea,https://idiggreenacres.com/products/kale-dinosaur?variant=41315655450793,,$3.25-$5.95,2-3,2-3,Full Sun,Moderate
75,Kale,Brassica oleracea,https://idiggreenacres.com/products/kale-red-russian?variant=37646345765033,,$3.25-$5.95,2-3,1-1,Full Sun,Moderate
76,Lavender,,https://idiggreenacres.com/products/lavender?variant=14354849562676,,$3.95,3-4,4-6,Full Sun,High; Moderate
77,Lemon Balm,Melissa officinalis,https://idiggreenacres.com/products/lemon-balm?variant=14355146211380,,$3.95,2-3,2-2,Full Sun,High; Moderate; Moderate to High
78,Lemongrass,,https://idiggreenacres.com/products/lemon-grass?variant=14355280494644,,$3.75-$8.95,2-3,2-3,Full Sun,High; Moderate; Moderate to High
79,Thyme 'Lemon',Thymus x citriodorus 'Lemon',https://idiggreenacres.com/products/lemon-thyme?variant=31221210218519,,$3.95,1-1,2-2,Full Sun; Morning Sun,Moderate
80,Lemon Verbena,Aloysia citrodora,https://idiggreenacres.com/products/lemon-verbena?variant=14357825650740,,$3.95,5-5,5-5,Full Sun,High; Moderate; Moderate to High
81,Marjoram 'Sweet',Origanum majorana,https://idiggreenacres.com/products/marjoram-sweet?variant=14359148134452,,$3.95,1-2,1-2,Full Sun,High; Moderate; Moderate to High
82,Melon 'Ambrosia Cantaloupe',Cucumis melo,https://idiggreenacres.com/products/melon-ambrosia-cantaloupe?variant=14049220788276,,$3.25,1.25-1.5,3-6,Full Sun,High
83,Melon 'Ball Hybrid Cantaloupe',Cucumis melo,https://idiggreenacres.com/products/melon-ball-hybrid-cantaloupe?variant=31481023234071,,$3.25,1.25-1.5,3-6,Full Sun,High
84,Melon 'Crenshaw',Cucumis melo,https://idiggreenacres.com/products/melon-crenshaw?variant=14049226752052,,$3.25,1.25-1.5,3-6,Full Sun,High
85,Melon 'Gold Star Cantaloupe',Cucumis melo,https://idiggreenacres.com/products/melon-gold-star-cantaloupe?variant=31206468091927,,$3.25,1.5-2,4-6,Full Sun,High
86,Melon 'Hale's Best Cantaloupe',Cucumis melo,https://idiggreenacres.com/products/melon-hales-best-cantaloupe?variant=31206442860567,,$3.25,1.25-1.5,3-6,Full Sun,High
87,Melon 'Harper's Hybrid Cantaloupe',Cucumis melo,https://idiggreenacres.com/products/melon-harpers-hybrid-cantaloupe?variant=31207596851223,,$3.25,1.25-1.5,3-6,Full Sun,High
88,Melon 'Honeydew',Cucumis melo,https://idiggreenacres.com/products/melon-honeydew?variant=14049399570484,,$3.25,0.67-0.83,6-7,Full Sun,High
89,Melon 'Roadside Cantaloupe',Cucumis melo,https://idiggreenacres.com/products/melon-roadside-cantaloupe?variant=14049469366324,,$3.25,1.5-2,4-6,Full Sun,High
90,Mint 'Chocolate',,https://idiggreenacres.com/products/mint-chocolate?variant=14358019080244,,$3.95,2-2,2-3,Full Sun,High; Moderate; Moderate to High
91,Mint,,https://idiggreenacres.com/products/mint-peppermint?variant=14358171549748,,$3.75-$3.95,3-3,2-3,Full Sun,High; Moderate; Moderate to High
92,Mint,Mentha spicata,https://idiggreenacres.com/products/mint-spearmint?variant=14333827776564,,$3.75-$3.95,1-2,2-3,Full Sun,High; Moderate; Moderate to High
93,Tomato 'Momotaro',Solanum lycopersicum,https://idiggreenacres.com/products/momotaro?variant=14089103605812,,$3.25,5-8,1-2,Full Sun,Moderate
94,Okra 'Clemson Spineless',Abelmoschus esculentus,https://idiggreenacres.com/products/okra-clemson-spineless?variant=14049514389556,,$3.25,3-4,3-4,Full Sun,Moderate
95,Okra,Abelmoschus esculentus,https://idiggreenacres.com/products/okra-red-burgundy?variant=14049584119860,,$3.25,3-4,3-4,Full Sun,Moderate
96,Onion 'Scallions/Green Onions',Allium cepa,https://idiggreenacres.com/products/onion-scallions-green-onions?variant=14049659486260,,$5.95,0.67-1,0.08-0.08,Full Sun,High
97,Onion 'Shallots',Allium cepa,https://idiggreenacres.com/products/onion-shallots?variant=14049660960820,,$5.95,2.5-2.92,1-1,Full Sun,High
98,Onion 'Red',Allium cepa,https://idiggreenacres.com/products/onion-stockton-red?variant=41877998043305,,$4.50-$5.95,1-1,0.5-0.5,Full Sun,High; Moderate; Moderate to High
99,Onion 'White',Allium cepa,https://idiggreenacres.com/products/onion-white?variant=38402042724521,,$4.50-$5.95,1-1,0.5-0.5,Full Sun,High; Moderate; Moderate to High
100,Onion 'Yellow',Allium cepa,https://idiggreenacres.com/products/onion-yellow?variant=31716035428375,missing_attributes,$4.50-$5.95,1-1,0.5-0.5,Full Sun,High; Moderate
101,Oregano,Origanum vulgare,https://idiggreenacres.com/products/oregano-greek?variant=14358387687476,,$3.75-$3.95,1-2,1-2,Full Sun,High; Moderate; Moderate to High
102,Oregano 'Hot n' Spicy',Origanum vulgare,https://idiggreenacres.com/products/oregano-hot-n-spicy?variant=14358471409716,missing_attributes,$3.95,1-2,1-2,Full Sun,High; Moderate
103,Oregano,Origanum vulgare,https://idiggreenacres.com/products/oregano-italian?variant=14333889675316,,$3.75-$3.95,1-2,1-2,Full Sun,High; Moderate; Moderate to High
104,"Cilantro/Coriander, Organic",Coriandrum sativum,https://idiggreenacres.com/products/organic-cilantro-coriander?variant=43230697980073,,$4.25-$6.95,1-2,0.83-1.17,Full Sun,High; Moderate; Moderate to High
105,Melon 'Hearts of Gold Cantaloupe',Cucumis melo,https://idiggreenacres.com/products/organic-melon-hearts-of-gold?variant=14439212777524,,$3.25,1.5-2,4-6,Full Sun,High
106,Mint,Mentha spicata,https://idiggreenacres.com/products/organic-mint-spearmint?variant=43230722228393,,$4.95-$6.95,1-2,2-3,Full Sun,High; Moderate; Moderate to High
107,Oregano 'Italian' Organic,Origanum vulgare,https://idiggreenacres.com/products/organic-oregano-italian?variant=14438724304948,,$4.95,1-2,1-2,Full Sun,High; Moderate; Moderate to High
108,Rosemary 'Barbecue',Rosmarinus officinalis,https://idiggreenacres.com/products/organic-rosemary-barbecue?variant=14438814613556,,$3.95,5-5,5-5,Full Sun,High; Moderate; Moderate to High
109,Thyme 'English',Thymus vulgaris,https://idiggreenacres.com/products/organic-thyme-english?variant=14439004274740,,$3.95,0.67-0.83,0.5-0.67,Full Sun,High; Moderate; Moderate to High
110,Thyme 'Lemon' Organic,Thymus x citriodorus 'Lemon',https://idiggreenacres.com/products/organic-thyme-lemon?variant=43220813316265,,$4.95,1-1,2-2,Full Sun; Morning Sun,Moderate
111,Parsley 'Curly Leaf',Petroselinum crispum,https://idiggreenacres.com/products/parsley-curly-leaf?variant=14358543597620,,$3.95,0.5-1,0.5-1,Full Sun,High; Moderate; Moderate to High
112,Parsley,Petroselinum crispum,https://idiggreenacres.com/products/parsley-italian?variant=14333941153844,,$3.75-$3.95,1-2,1-2,Full Sun,High; Moderate; Moderate to High
113,Pepper 'Anaheim',Capsicum annuum,https://idiggreenacres.com/products/pepper-anaheim?variant=38605280116905,,$3.25-$5.95,1.5-2,1.33-1.33,Full Sun,Moderate
114,Pepper 'Big Bertha',Capsicum annuum,https://idiggreenacres.com/products/pepper-big-bertha?variant=14050301345844,,$3.25,3-5,1.5-2,Full Sun,Moderate
115,Pepper 'Calabrian Chile',Capsicum annuum,https://idiggreenacres.com/products/pepper-calabrian?variant=41929961013417,,$3.25,1.5-2,1-1,Full Sun,Moderate
116,Pepper 'Caribbean Red',Capsicum annuum,https://idiggreenacres.com/products/pepper-caribbean-red?variant=31217312268311,,$3.25,1.17-1.5,1.33-1.33,Full Sun,Moderate
117,Pepper,Capsicum annuum,https://idiggreenacres.com/products/pepper-carolina-reaper?variant=14050329919540,,$3.25,5-5,4-4,Full Sun,Moderate
118,Pepper,Capsicum annuum,https://idiggreenacres.com/products/pepper-cayenne?variant=14050357805108,,$3.25,2-3,2-3,Full Sun,Moderate
119,Pepper 'Chile de Arbol',Capsicum annuum,https://idiggreenacres.com/products/pepper-chile-de-arbol?variant=14050364096564,,$3.25,3-4,2-3,Full Sun,Moderate
120,Pepper 'Eisley Wax',Capsicum annuum,https://idiggreenacres.com/products/pepper-eisley-wax?variant=14050420195380,,$3.25,1.5-2,1.33-1.33,Full Sun,Moderate
121,Pepper,Capsicum annuum,https://idiggreenacres.com/products/pepper-fresno?variant=14050428878900,,$3.25-$7.50,2-3,1.33-1.33,Full Sun,Moderate
122,Pepper 'Garden Salsa',Capsicum annuum,https://idiggreenacres.com/products/pepper-garden-salsa?variant=14050425995316,,$3.25,2-3,1.33-1.33,Full Sun,Moderate
