Plant_ID,Category,Common_Name,Botanical_Name,Current_Image,Current_Exists,Best_Image,Best_Score,Best_Hits,Would_Apply
855,SHRUBS,Fringe Flower Chang Nian Hong,,,FALSE,/GreenAcres-Images/Shrubs/LoropetalumChinense_ChangNianHong_512x.jpg,10,contains:changnian; contains:nianhong,FALSE
856,SHRUBS,Fringe Flower Jazz Hands Dwarf Pink,,/GreenAcres-Images/Shrubs/Loropetalum_JazzHandsDwarfPink_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Loropetalum_JazzHandsDwarfPink_512x.jpg,14,contains:jazzhands; contains:handsdwarf; contains:dwarfpink,FALSE
857,SHRUBS,Fringe Flower Jazz Hands Dwarf White,,/GreenAcres-Images/Shrubs/Loropetalum_JazzHandsDwarfWhite_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Loropetalum_JazzHandsDwarfWhite_512x.jpg,14,contains:jazzhands; contains:handsdwarf; contains:dwarfwhite,FALSE
858,SHRUBS,Fringe Flower Jazz Hands Mini,,,FALSE,/GreenAcres-Images/Shrubs/Loropetalum_JazzHandsMini_512x.jpg,10,contains:jazzhands; contains:handsmini,FALSE
859,SHRUBS,Fringe Flower Purple Majesty,,/GreenAcres-Images/Shrubs/LoropetalumChinense_PurpleMajesty_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/LoropetalumChinense_PurpleMajesty_512x.jpg,22,purplemajesty; contains:purple; contains:majesty; contains:purplemajesty,FALSE
860,SHRUBS,Fruity Germander,,/GreenAcres-Images/Shrubs/Teucrium_Germander_FruityGermander_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Teucrium_Germander_FruityGermander_512x.jpg,34,germander; fruitygermander; contains:fruity; contains:germander; contains:fruitygermander; contains:germanderfruity,FALSE
861,SHRUBS,Gardenia First Love Monrovia,,/GreenAcres-Images/Shrubs/Gardenia_FirstLove_Monrovia_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Gardenia_FirstLove_Monrovia_512x.jpg,42,gardenia; firstlove; contains:gardenia; contains:gardeniafirst; contains:firstlove; compact-prefix,FALSE
862,SHRUBS,Gardenia Kleims Hardy,,/GreenAcres-Images/Shrubs/Gardenia_KleimsHardy_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Gardenia_KleimsHardy_512x.jpg,34,gardenia; kleimshardy; contains:gardenia; contains:kleims; contains:gardeniakleims; contains:kleimshardy,FALSE
863,SHRUBS,Gardenia Mystery,,/GreenAcres-Images/Shrubs/Gardenia_Mystery_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Gardenia_Mystery_512x.jpg,35,gardenia; mystery; gardeniamystery; contains:gardenia; contains:mystery; contains:gardeniamystery,FALSE
864,SHRUBS,Gardeniaaugustbeauty,,/GreenAcres-Images/Shrubs/GardeniaAugustBeauty_02_eaf72ee8-a6d2-4b10-896f-f65db577363a_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/GardeniaAugustBeauty_02_eaf72ee8-a6d2-4b10-896f-f65db577363a_512x.jpg,26,gardeniaaugustbeauty; contains:gardeniaaugustbeauty; compact-prefix,FALSE
