plantId,productName,botanicalName,usdaNationalMatch,usdaNationalConfidence,usdaCaliforniaMatch,usdaCaliforniaConfidence,permapeopleMatch,permapeopleScientific,permapeopleConfidence,companionRows
148,Pepper 'Yellow Bell',Capsicum annuum,,,,,,,,0
149,Pole Bean 'Blue Lake',Phaseolus vulgaris,,,,,,,,0
150,Pole Bean 'Kentucky Wonder',Phaseolus vulgaris,,,,,,,,0
151,Pole Bean 'Romano',Phaseolus vulgaris,,,,,,,,0
152,Pumpkin,Cucurbita pepo,,,,,,,,0
153,Pumpkin 'Jack-O-Lantern',Cucurbita pepo,,,,,,,,0
154,Rosemary Upright,Rosmarinus officinalis,,,,,,,,0
155,Rue,Ruta graveolens,,,,,,,,0
156,Sage,Salvia officinalis,,,,,,,,0
157,Sage 'Berggarten',Salvia officinalis,,,,,,,,0
158,Sage 'Purple',Salvia officinalis,,,,,,,,0
159,Sage 'Tricolor',Salvia officinalis,,,,,,,,0
160,Snap Pea 'Sugar Snap',Pisum sativum macrocarpon,,,,,,,,0
161,Snow Pea 'Oregon Sugar Pod',Pisum sativum saccharatum,,,,,,,,0
162,Spinach,Spinacia oleracea,,,,,,,,0
163,Squash 'Banana',Cucurbita maxima,,,,,,,,0
164,Squash 'Butternut',Cucurbita moschata,,,,,,,,0
165,Squash 'Eight Ball Zucchini',Cucurbita pepo,,,,,,,,0
166,Squash 'Gold Rush Zucchini',Cucurbita pepo,,,,,,,,0
167,Squash,Cucurbita pepo,,,,,,,,0
168,Squash 'Magda',Cucurbita pepo,,,,,,,,0
169,Squash 'Peter Pan',Cucurbita pepo,,,,,,,,0
170,Squash 'Spaghetti',Cucurbita pepo,,,,,,,,0
171,Squash 'Sunburst',Cucurbita pepo,,,,,,,,0
172,Squash 'Table Ace',Cucurbita pepo,,,,,,,,0
173,Squash,Cucurbita pepo,,,,,,,,0
174,Squash 'Zephyr',Cucurbita pepo,,,,,,,,0
175,Stevia,,,,,,,,,0
176,"Sweet Lavender, Organic",,,,,,,,,0
177,Tarragon,Artemisia dracunculus,,,,,,,,0
178,Thyme,Thymus vulgaris,,,,,,,,0
179,Thyme 'French',Thymus vulgaris,,,,,,,,0
180,Tomatillo,Physalis philadelphica,,,,,,,,0
181,Tomato 'Ace',Solanum lycopersicum,,,,,,,,0
182,Tomato 'Amish Paste',Solanum lycopersicum,,,,,,,,0
183,Tomato 'Barry's Crazy Cherry',Wild Boar Farms,,,,,,,,0
184,Tomato 'Beef Master',Solanum lycopersicum,,,,,,,,0
185,Tomato 'Beefsteak',Solanum lycopersicum,,,,,,,,0
186,Tomato,Solanum lycopersicum,,,,,,,,0
187,Tomato,Solanum lycopersicum,,,,,,,,0
188,Tomato 'Black Beauty',Wild Boar Farms,,,,,,,,0
189,Tomato,Solanum lycopersicum,,,,,,,,0
190,Tomato 'Black Krim',Solanum lycopersicum,,,,,,,,0
191,Tomato 'Blue Berries',Wild Boar Farms,,,,,,,,0
192,Tomato 'Brad's Atomic Grape',Wild Boar Farms,,,,,,,,0
193,Tomato 'Brandy Boy',Solanum lycopersicum,,,,,,,,0
194,Tomato 'Red Brandywine',Solanum lycopersicum,,,,,,,,0
195,Tomato 'Bull's Heart',Solanum lycopersicum,,,,,,,,0
196,Tomato 'Caspian Pink',Solanum lycopersicum,,,,,,,,0
197,Tomato,Solanum lycopersicum,,,,,,,,0
198,Tomato 'Champion',Solanum lycopersicum,,,,,,,,0
199,Tomato,Solanum lycopersicum,,,,,,,,0
200,Tomato 'Chocolate Sprinkles',Solanum lycopersicum,,,,,,,,0
201,Tomato,Solanum lycopersicum,,,,,,,,0
202,Tomato 'Fantastico',Solanum lycopersicum,,,,,,,,0
203,Tomato 'Fourth of July',Solanum lycopersicum,,,,,,,,0
204,Tomato 'German Johnson',Solanum lycopersicum,,,,,,,,0
205,Tomato 'Goliath',Solanum lycopersicum,,,,,,,,0
206,Tomato 'Green Zebra',Solanum lycopersicum,,,,,,,,0
207,Tomato 'Hillbilly',Solanum lycopersicum,,,,,,,,0
208,Tomato,Solanum lycopersicum,,,,,,,,0
209,Tomato 'Isis Candy',Solanum lycopersicum,,,,,,,,0
210,Tomato 'Jelly Bean',Solanum lycopersicum,,,,,,,,0
211,Tomato 'Jetsetter',Solanum lycopersicum,,,,,,,,0
212,Tomato 'Juliet',Solanum lycopersicum,,,,,,,,0
213,Tomato 'Kellogg's Breakfast',Solanum lycopersicum,,,,,,,,0
214,Tomato,Solanum lycopersicum,,,,,,,,0
215,Tomato 'Mortgage Lifter',Solanum lycopersicum,,,,,,,,0
216,Tomato 'Mr. Stripey',Solanum lycopersicum,,,,,,,,0
217,Tomato 'Napa Chardonnay',Wild Boar Farms,,,,,,,,0
218,Tomato 'Napa Ros??',Wild Boar Farms,,,,,,,,0
219,Tomato 'Patio',Solanum lycopersicum,,,,,,,,0
220,Tomato 'Pineapple',Solanum lycopersicum,,,,,,,,0
221,Tomato 'Pineapple Pig',Wild Boar Farms,,,,,,,,0
222,Tomato 'Pink Berkeley Tie-Dye',Wild Boar Farms,,,,,,,,0
223,Tomato 'Pork Chop',Wild Boar Farms,,,,,,,,0
224,Tomato 'Pruden's Purple',Solanum lycopersicum,,,,,,,,0
225,Tomato,Solanum lycopersicum,,,,,,,,0
226,Tomato,Solanum lycopersicum,,,,,,,,0
227,Tomato 'Roma',Solanum lycopersicum,,,,,,,,0
228,Tomato 'San Marzano',Solanum lycopersicum,,,,,,,,0
229,Tomato 'Shady Lady',Solanum lycopersicum,,,,,,,,0
230,Tomato 'Stupice',Solanum lycopersicum,,,,,,,,0
231,Tomato,Solanum lycopersicum,,,,,,,,0
232,Tomato,Solanum lycopersicum,,,,,,,,0
233,Tomato,Solanum lycopersicum,,,,,,,,0
234,Tomato 'Sweet 100',Solanum lycopersicum,,,,,,,,0
235,Tomato 'Whopper',Solanum lycopersicum,,,,,,,,0
236,Tomato,Solanum lycopersicum,,,,,,,,0
237,Trailing Rosemary Herb,Rosmarinus officinalis 'Prostratus',,,,,,,,0
238,Onion 'Walla Walla',Allium cepa,,,,,,,,0
239,Watermelon 'Crimson Sugar Baby',Citrullus lanatus,,,,,,,,0
240,Watermelon,Citrullus lanatus,,,,,,,,0
241,Watermelon 'Sugar Baby',Citrullus lanatus,,,,,,,,0
242,Winter Savory,Satureja montana,,,,,,,,0
243,Yellow Corn,Zea mays,,,,,,,,0
244,Yellow Onion,Allium cepa,,,,,,,,0
